"Proposal_ID","Sampling_Set","Core_Section","alpha","n","theta_r","theta_s"
"61389","21","BTM",0.00117,1.321,0,0.595
"61389","20","BTM",0.00455,1.247,0,0.384
"61389","16","BTM",0.0295,1.171,0,0.397
"61389","18","BTM",0.00541,1.346,0.125,0.377
"61389","15","BTM",0.0134,1.229,0,0.358
"61389","19","BTM",0.0176,1.206,0,0.398
"61389","9","BTM",0.00096,1.481,0,0.405
"61389","8","BTM",0.00358,1.316,0,0.297
"61389","7","BTM",0.0174,1.177,0,0.424
"61389","14","BTM",0.00391,1.327,0,0.401
"61389","12","BTM",0.00382,1.221,0,0.412
"61389","5","BTM",0.0031,1.218,0,0.472
"61389","3","BTM",0.00342,1.278,0,0.541
"61389","4","BTM",0.00245,1.438,0,0.425
"61086","6","BTM",0.00168,1.25,0,0.444
"61257","4","BTM",0.0785,1.166,0,0.434
"61258","6","BTM",0.5,1.177,0.068,0.573
"61093","2","BTM",0.0097,1.266,0,0.628
"61389","2","BTM",0.0129,1.196,0,0.426
"61257","1","BTM",0.00141,1.218,0,0.485
"61258","4","BTM",0.2845,1.132,0,0.54
"61258","2","BTM",0.5,1.13,0,0.526
"61086","5","BTM",0.00869,1.189,0,0.392
"61257","5","BTM",0.0658,1.196,0,0.492
"61257","7","BTM",0.0572,1.173,0,0.46
"61258","3","BTM",0.5,1.162,0,0.552
"61078","7","BTM",0.0237,1.151,0,0.311
"61257","8","BTM",0.0997,1.223,0,0.455
"61078","8","BTM",0.00723,1.203,0,0.418
"61049","19","BTM",0.0479,1.331,0.007,0.455
"61258","5","BTM",0.2232,1.133,0,0.526
"61257","9","BTM",0.115,1.152,0,0.504
"61389","24","BTM",0.0136,1.2,0,0.406
"61093","1","BTM",0.00287,1.307,0,0.663
"61048","9","BTM",0.0542,1.437,0.04,0.455
"61086","3","BTM",0.00212,1.188,0,0.5
"61049","20","BTM",0.0098,1.313,0,0.506
"61086","4","BTM",0.00299,1.272,0,0.446
"61086","2","BTM",0.00016,1.681,0,0.564
"61257","2","BTM",0.1524,1.178,0,0.525
